Control ID,Control Name,Stage,Track,Current Status,MoSCoW,Justification,Phase Implementation,Remediation Impact
QC-3A,Pull Request Creation & Review,3,QC,Active,S,"Important for code quality and peer review but can be supplemented with automated checks. Supports DORA Art. 8(5) (change management) but not blocking.",Phase 1,MEDIUM - Code changes tracked but not strictly gated
QC-3B,Code Quality Standards,3,QC,Active,S,"Automated enforcement of code quality. Improves maintainability and reduces technical debt. Not blocking deployment but significant for long-term maintainability.",Phase 1,MEDIUM - Technical debt accumulates without code quality standards
RC-3A,Decision Log,3,RC,Active,S,"Supports audit trail and compliance reporting (GC-0A). Important for demonstrating decision rationale but not blocking deployment.",Phase 2,MEDIUM - Audit trail incomplete without decision log
SC-3A,Permission Management,3,SC,Active,M,"Required by DORA Art. 9(4) (access controls and authentication). Prevents unauthorized code changes and enforces least privilege.",Phase 1,CRITICAL - Missing access controls violate DORA Art. 9 requirements
SC-3B,Post-Guardrails,3,SC,Active,M,"Required by DORA Art. 9 and EU AI Act Art. 15(4) (resilience against manipulation). Detects and prevents malicious code or policy violations in final code.",Phase 1,CRITICAL - Post-guardrails prevent malicious code from reaching testing
SC-3C,Secrets & Credentials Scanning,3,SC,Active,M,"Required by DORA Art. 28 (supply chain security) and EU AI Act Art. 15(3) (supply chain integrity). Prevents exposure of sensitive credentials.",Phase 1,CRITICAL - Exposed credentials cause immediate compliance breach
GC-3A,Code Provenance Tracking,3,GC,Active,M,"Required by EU AI Act Art. 17(1)(f) (data/documentation requirements) and DORA Art. 28 (third-party oversight). Essential for supply chain security and AI audit trail.",Phase 1,CRITICAL - Cannot prove code provenance for regulatory audit
QC-4A,Functional & Non-Functional Testing,4,QC,Active,S,"Critical quality gate but automated testing tooling can substitute some manual testing. Required for verification but gates compliance more through exit criteria.",Phase 1,HIGH - Missing functional testing prevents verification gate
QC-4B,AI Output Validation,4,AC,Active,S,"Important for AI systems but only applicable to AI components. Supports EU AI Act Art. 15 (accuracy/robustness) but not blocking if no AI present.",Phase 1,HIGH (for AI) - Missing AI output validation breaches Art. 15
QC-4C,Documentation Completeness,4,QC,Active,M,"Required by EU AI Act Art. 11 (technical documentation) and Annex IV. Non-negotiable for regulatory proof of AI system compliance.",Phase 1,CRITICAL - Missing documentation violates EU AI Act Art. 11
RC-4A,Risk Threshold Evaluation,4,RC,Active,M,"Required by EU AI Act Art. 9(7) (testing to verify risk management measures). Blocks deployment if residual risk exceeds tolerance. Critical gate.",Phase 1,CRITICAL - Blocks high-risk deployment; gates stage exit
SC-4A,SAST,4,SC,Active,M,"Required by DORA Art. 24-25 (digital operational resilience testing). Static analysis is foundational security testing for identifying code-level vulnerabilities.",Phase 1,HIGH - SAST is baseline security testing requirement
SC-4B,DAST,4,SC,Active,M,"Required by DORA Art. 24-25 (operational resilience testing including penetration testing). Dynamic analysis is foundational for runtime security validation.",Phase 1,HIGH - DAST is baseline security testing requirement
AC-4A,Bias & Fairness Testing,4,AC,Active,S,"Required by EU AI Act Art. 10 (data governance for bias), Art. 15 (robustness). Critical for high-risk AI but only applicable to AI components.",Phase 1,HIGH (for AI) - Missing bias testing breaches Art. 10/15
QC-5A,Release Readiness Checklist,5,QC,Active,S,"Comprehensive gate checklist supporting change management (DORA Art. 8(5)). Important but gates through exit criteria.",Phase 1,MEDIUM - Incomplete readiness checklist gates deployment
RC-5A,CAB Approval,5,RC,Active,M,"Required by change management governance (DORA Art. 8(5)). Human-required control ensuring deployment decision is formally authorized.",Phase 1,HIGH - Blocks unauthorized deployments
RC-5B,Rollback Plan Validation,5,RC,Active,S,"Required by DORA Art. 11 (ICT business continuity). Important for recovery but gates exit through rollback readiness.",Phase 1,HIGH - Missing rollback plan blocks recovery capability
SC-5A,Infrastructure Security,5,SC,Active,M,"Required by DORA Art. 24-25 (testing of infrastructure). Ensures production environment meets security requirements before deployment.",Phase 1,HIGH - Infrastructure vulnerabilities expose production systems
SC-5B,Deployment Integrity,5,SC,Active,M,"Required by DORA Art. 28 (supply chain security) and EU AI Act Art. 15(3) (supply chain integrity). Ensures code/model integrity during deployment.",Phase 1,CRITICAL - Deployment tampering bypasses all prior controls
QC-6A,SLA/SLO Monitoring,6,QC,Active,C,"Efficiency optimization for operational monitoring. Nice-to-have for SLA tracking but not blocking. Supports Phase 3 optimization.",Phase 3,LOW - Absence affects operational efficiency not compliance
RC-6A,Risk & Health Monitoring,6,RC,Active,S,"Required by DORA Art. 10-11 (detection and monitoring) for continuous risk assessment. Important for ongoing compliance but monitoring rather than blocking.",Phase 2,HIGH - Missing risk monitoring breaks continuous compliance
SC-6A,Incident Scanning & Detection,6,SC,Active,M,"Required by DORA Art. 10 (detection mechanisms) and Art. 17-19 (incident management and reporting). Critical for incident identification and regulatory reporting.",Phase 1,CRITICAL - Missing incident detection blocks regulatory reporting
SC-6B,Runtime Anomaly Detection,6,SC,Active,C,"Advanced monitoring for operational security. Complements SC-6A with enhanced detection but not blocking. Phase 3 optimization.",Phase 3,LOW - Enhancement to SC-6A; not blocking if SC-6A present
AC-6A,AI Post-Market Surveillance,6,AC,Active,S,"Required by EU AI Act Art. 72 (post-market monitoring) and Art. 26(5) (deployer monitoring obligations). Critical for deployed AI systems but monitoring rather than blocking.",Phase 2,HIGH - Missing AI surveillance violates Art. 72
